Year,Fossil-Fuel-Industry,Land-Use-Change,Atmospheric-Growth,Ocean-Sink
1960,2.550,1.652,1.512,0.790
1961,2.556,1.575,1.661,0.681
1962,2.647,1.527,1.193,0.753
1963,2.797,1.468,1.214,0.888
1964,2.942,1.414,1.044,1.038
1965,3.079,1.363,2.343,1.172
1966,3.222,1.318,2.343,1.149
1967,3.325,1.295,1.299,0.966
1968,3.507,1.290,2.109,1.070
1969,3.740,1.296,2.812,1.107
1970,4.050,1.272,2.407,1.033
1971,4.214,1.247,1.555,1.128
1972,4.410,1.217,3.131,1.343
1973,4.644,1.193,3.110,1.299
1974,4.624,1.159,1.448,1.235
1975,4.618,1.136,2.620,1.231
1976,4.863,1.121,2.066,1.321
1977,4.996,1.103,4.090,1.398
1978,5.180,1.066,2.748,1.437
1979,5.318,1.039,4.558,1.356
1980,5.292,1.085,3.621,1.629
1981,5.149,1.102,2.449,1.617
1982,5.110,1.117,2.130,1.703
1983,5.159,1.160,3.941,1.826
1984,5.309,1.198,2.641,1.695
1985,5.498,1.218,3.451,1.649
1986,5.576,1.254,2.173,1.729
1987,5.757,1.291,5.751,1.824
1988,5.977,1.308,4.792,1.708
1989,6.067,1.335,2.939,1.702
1990,6.200,1.308,2.492,1.816
1991,6.329,1.307,1.576,1.909
1992,6.132,1.315,1.491,2.100
1993,6.200,1.313,2.620,2.028
1994,6.244,1.307,3.578,1.903
1995,6.379,1.292,4.153,1.908
1996,6.577,1.266,2.258,1.860
1997,6.615,1.738,4.196,1.992
1998,6.591,1.187,6.007,2.093
1999,6.675,1.161,2.918,1.940
2000,6.865,1.341,2.620,1.907
2001,6.923,1.272,3.877,1.805
2002,7.074,1.461,5.027,2.148
2003,7.415,1.520,4.878,2.220
2004,7.763,1.479,3.344,2.152
2005,8.024,1.368,5.197,2.218
2006,8.290,1.418,3.728,2.282
2007,8.538,1.236,4.473,2.317
2008,8.732,1.298,3.791,2.273
2009,8.606,1.504,3.429,2.336
2010,9.048,1.385,5.176,2.305
2011,9.354,1.342,3.621,2.427
2012,9.496,1.468,5.091,2.479
2013,9.541,1.519,5.133,2.503
2014,9.614,1.659,4.324,2.579
2015,9.618,1.704,6.326,2.640
2016,9.656,1.537,6.071,2.671
2017,9.774,1.469,4.579,2.542
2018,9.982,1.509,5.155,2.628
